order,game_type,game_id,unique_id,text,aRate,choice_br,choice_psne,logrt,logrt_norm,delta,delta_norm
origin,dilemma,1,1,"If the row player chooses Option A and the column player chooses Option C, the row player gets 21 and the column player gets 2;
If the row player chooses Option A and the column player chooses Option D, the row player gets 10 and the column player gets 19;
If the row player chooses Option B and the column player chooses Option C, the row player gets 24 and the column player gets 6;
If the row player chooses Option B and the column player chooses Option D, the row player gets 17 and the column player gets 4.
",0.3023255813953488,0.6976744186046512,0.6976744186046512,8.42463921,-0.117175058,0.094916171,0.0104401318416833
origin,hero,1,2,"If the row player chooses Option A and the column player chooses Option C, the row player gets 2 and the column player gets 21;
If the row player chooses Option A and the column player chooses Option D, the row player gets 6 and the column player gets 24;
If the row player chooses Option B and the column player chooses Option C, the row player gets 19 and the column player gets 10;
If the row player chooses Option B and the column player chooses Option D, the row player gets 4 and the column player gets 17.
",0.2682926829268293,0.7317073170731707,0.2682926829268293,8.660600654710967,0.1638037564040118,0.1176978799760749,0.0462488834098746
origin,compromise,2,3,"If the row player chooses Option A and the column player chooses Option C, the row player gets 1 and the column player gets 6;
If the row player chooses Option A and the column player chooses Option D, the row player gets 8 and the column player gets 14;
If the row player chooses Option B and the column player chooses Option C, the row player gets 40 and the column player gets 2;
If the row player chooses Option B and the column player chooses Option D, the row player gets 21 and the column player gets 1.
",0.1818181818181818,0.8181818181818182,0.8181818181818182,8.554488976159934,-0.251558743,0.1562460043472701,-0.032561793
origin,chicken,2,4,"If the row player chooses Option A and the column player chooses Option C, the row player gets 6 and the column player gets 1;
If the row player chooses Option A and the column player chooses Option D, the row player gets 2 and the column player gets 40;
If the row player chooses Option B and the column player chooses Option C, the row player gets 14 and the column player gets 8;
If the row player chooses Option B and the column player chooses Option D, the row player gets 1 and the column player gets 21.
",0.5217391304347826,0.4782608695652174,0.5217391304347826,8.683974996749726,0.2302448487729629,0.098707403,0.2353045657756612
origin,deadlock,3,5,"If the row player chooses Option A and the column player chooses Option C, the row player gets 12 and the column player gets 15;
If the row player chooses Option A and the column player chooses Option D, the row player gets 2 and the column player gets 36;
If the row player chooses Option B and the column player chooses Option C, the row player gets 35 and the column player gets 12;
If the row player chooses Option B and the column player chooses Option D, the row player gets 34 and the column player gets 29.
",0.1351351351351351,0.8648648648648649,0.8648648648648649,8.151333337900432,-0.597582586,0.1235205191548984,-0.18126503
origin,deadlock,3,6,"If the row player chooses Option A and the column player chooses Option C, the row player gets 15 and the column player gets 12;
If the row player chooses Option A and the column player chooses Option D, the row player gets 12 and the column player gets 35;
If the row player chooses Option B and the column player chooses Option C, the row player gets 36 and the column player gets 2;
If the row player chooses Option B and the column player chooses Option D, the row player gets 29 and the column player gets 34.
",0.093023256,0.9069767441860463,0.9069767441860463,8.572817095164234,-0.201073865,0.054487449,-0.205266514
origin,leader,4,7,"If the row player chooses Option A and the column player chooses Option C, the row player gets 9 and the column player gets 10;
If the row player chooses Option A and the column player chooses Option D, the row player gets 24 and the column player gets 23;
If the row player chooses Option B and the column player chooses Option C, the row player gets 38 and the column player gets 1;
If the row player chooses Option B and the column player chooses Option D, the row player gets 2 and the column player gets 2.
",0.725,0.725,0.725,8.678999747078453,-0.05055134,0.1865981735159817,0.2912955607063837
origin,dilemma,4,8,"If the row player chooses Option A and the column player chooses Option C, the row player gets 10 and the column player gets 9;
If the row player chooses Option A and the column player chooses Option D, the row player gets 1 and the column player gets 38;
If the row player chooses Option B and the column player chooses Option C, the row player gets 23 and the column player gets 24;
If the row player chooses Option B and the column player chooses Option D, the row player gets 2 and the column player gets 2.
",0.14,0.86,0.86,8.497398480857383,-0.213001039,0.078838897,-0.153011009
origin,deadlock,5,9,"If the row player chooses Option A and the column player chooses Option C, the row player gets 6 and the column player gets 17;
If the row player chooses Option A and the column player chooses Option D, the row player gets 1 and the column player gets 21;
If the row player chooses Option B and the column player chooses Option C, the row player gets 13 and the column player gets 16;
If the row player chooses Option B and the column player chooses Option D, the row player gets 7 and the column player gets 3.
",0.063829787,0.9361702127659576,0.9361702127659576,8.573951525234847,0.097141562,0.0355817111815301,-0.288871924
origin,chicken,5,10,"If the row player chooses Option A and the column player chooses Option C, the row player gets 17 and the column player gets 6;
If the row player chooses Option A and the column player chooses Option D, the row player gets 16 and the column player gets 13;
If the row player chooses Option B and the column player chooses Option C, the row player gets 21 and the column player gets 1;
If the row player chooses Option B and the column player chooses Option D, the row player gets 3 and the column player gets 7.
",0.8947368421052632,0.8947368421052632,0.8947368421052632,8.450388750745747,-0.377979449,0.078075985,-0.282218568
origin,compromise,6,11,"If the row player chooses Option A and the column player chooses Option C, the row player gets 3 and the column player gets 15;
If the row player chooses Option A and the column player chooses Option D, the row player gets 5 and the column player gets 39;
If the row player chooses Option B and the column player chooses Option C, the row player gets 33 and the column player gets 16;
If the row player chooses Option B and the column player chooses Option D, the row player gets 8 and the column player gets 28.
",0.2424242424242424,0.7575757575757576,0.7575757575757576,8.689464412,-0.166274892,0.1604471477889199,0.064480089
origin,compromise,6,12,"If the row player chooses Option A and the column player chooses Option C, the row player gets 15 and the column player gets 3;
If the row player chooses Option A and the column player chooses Option D, the row player gets 16 and the column player gets 33;
If the row player chooses Option B and the column player chooses Option C, the row player gets 39 and the column player gets 5;
If the row player chooses Option B and the column player chooses Option D, the row player gets 28 and the column player gets 8.
",0.2195121951219512,0.7804878048780488,0.7804878048780488,7.80016307,-0.64123894,0.1067193675889328,-0.109931328
origin,leader,7,13,"If the row player chooses Option A and the column player chooses Option C, the row player gets 16 and the column player gets 14;
If the row player chooses Option A and the column player chooses Option D, the row player gets 17 and the column player gets 4;
If the row player chooses Option B and the column player chooses Option C, the row player gets 21 and the column player gets 11;
If the row player chooses Option B and the column player chooses Option D, the row player gets 12 and the column player gets 3.
",0.5526315789473685,0.4473684210526316,0.4473684210526316,8.787938069742264,0.2086893741447577,0.1178598154153155,0.3979077272765345
origin,harmony,7,14,"If the row player chooses Option A and the column player chooses Option C, the row player gets 14 and the column player gets 16;
If the row player chooses Option A and the column player chooses Option D, the row player gets 11 and the column player gets 21;
If the row player chooses Option B and the column player chooses Option C, the row player gets 4 and the column player gets 17;
If the row player chooses Option B and the column player chooses Option D, the row player gets 3 and the column player gets 12.
",0.935483870967742,0.935483870967742,0.935483870967742,8.137103389639302,-0.80117313,0.046408692,-0.377690237
origin,deadlock,8,15,"If the row player chooses Option A and the column player chooses Option C, the row player gets 7 and the column player gets 5;
If the row player chooses Option A and the column player chooses Option D, the row player gets 1 and the column player gets 27;
If the row player chooses Option B and the column player chooses Option C, the row player gets 40 and the column player gets 19;
If the row player chooses Option B and the column player chooses Option D, the row player gets 20 and the column player gets 5.
",0.1282051282051282,0.8717948717948718,0.8717948717948718,8.398184404834035,-0.348353318,0.1093879239040529,-0.054406416
origin,leader,8,16,"If the row player chooses Option A and the column player chooses Option C, the row player gets 5 and the column player gets 7;
If the row player chooses Option A and the column player chooses Option D, the row player gets 19 and the column player gets 40;
If the row player chooses Option B and the column player chooses Option C, the row player gets 27 and the column player gets 1;
If the row player chooses Option B and the column player chooses Option D, the row player gets 5 and the column player gets 20.
",0.631578947,0.631578947,0.631578947,8.711272633,0.085740012,0.200956937799043,0.5892774660045116
origin,staghunt,9,17,"If the row player chooses Option A and the column player chooses Option C, the row player gets 41 and the column player gets 1;
If the row player chooses Option A and the column player chooses Option D, the row player gets 2 and the column player gets 31;
If the row player chooses Option B and the column player chooses Option C, the row player gets 11 and the column player gets 1;
If the row player chooses Option B and the column player chooses Option D, the row player gets 5 and the column player gets 27.
",0.6595744680851063,0.6595744680851063,0.3404255319148936,8.904086913938967,0.1996499567812663,0.0358342665173571,-0.188068696
origin,compromise,9,18,"If the row player chooses Option A and the column player chooses Option C, the row player gets 1 and the column player gets 41;
If the row player chooses Option A and the column player chooses Option D, the row player gets 1 and the column player gets 11;
If the row player chooses Option B and the column player chooses Option C, the row player gets 31 and the column player gets 2;
If the row player chooses Option B and the column player chooses Option D, the row player gets 27 and the column player gets 5.
",0.1111111111111111,0.8888888888888888,0.8888888888888888,8.363808885,-0.458854367,0.1073622078647204,-0.185793458
origin,leader,10,19,"If the row player chooses Option A and the column player chooses Option C, the row player gets 11 and the column player gets 12;
If the row player chooses Option A and the column player chooses Option D, the row player gets 31 and the column player gets 23;
If the row player chooses Option B and the column player chooses Option C, the row player gets 31 and the column player gets 6;
If the row player chooses Option B and the column player chooses Option D, the row player gets 4 and the column player gets 10.
",0.8571428571428571,0.8571428571428571,0.8571428571428571,8.498414526744487,0.0435476165960819,0.1098522167487685,-0.090567732
origin,dilemma,10,20,"If the row player chooses Option A and the column player chooses Option C, the row player gets 12 and the column player gets 11;
If the row player chooses Option A and the column player chooses Option D, the row player gets 6 and the column player gets 31;
If the row player chooses Option B and the column player chooses Option C, the row player gets 23 and the column player gets 31;
If the row player chooses Option B and the column player chooses Option D, the row player gets 10 and the column player gets 4.
",0.1,0.9,0.9,8.116090551708123,-0.198673793,0.047297297,-0.312006606
origin,hero,11,21,"If the row player chooses Option A and the column player chooses Option C, the row player gets 1 and the column player gets 27;
If the row player chooses Option A and the column player chooses Option D, the row player gets 9 and the column player gets 14;
If the row player chooses Option B and the column player chooses Option C, the row player gets 22 and the column player gets 11;
If the row player chooses Option B and the column player chooses Option D, the row player gets 6 and the column player gets 10.
",0.1515151515151515,0.8484848484848485,0.8484848484848485,8.851090687664982,-0.117033046,0.1337448559670782,0.0619612997319359
origin,concord,11,22,"If the row player chooses Option A and the column player chooses Option C, the row player gets 27 and the column player gets 1;
If the row player chooses Option A and the column player chooses Option D, the row player gets 11 and the column player gets 22;
If the row player chooses Option B and the column player chooses Option C, the row player gets 14 and the column player gets 9;
If the row player chooses Option B and the column player chooses Option D, the row player gets 10 and the column player gets 6.
",0.84,0.84,0.84,8.423428042032231,0.066026506,0.033589164785553,-0.303426594
origin,peace,12,23,"If the row player chooses Option A and the column player chooses Option C, the row player gets 31 and the column player gets 37;
If the row player chooses Option A and the column player chooses Option D, the row player gets 17 and the column player gets 1;
If the row player chooses Option B and the column player chooses Option C, the row player gets 1 and the column player gets 26;
If the row player chooses Option B and the column player chooses Option D, the row player gets 13 and the column player gets 2.
",0.8918918918918919,0.8918918918918919,0.8918918918918919,7.964155718840937,-0.693218837,0.1001890779668557,-0.293627489
origin,peace,12,24,"If the row player chooses Option A and the column player chooses Option C, the row player gets 37 and the column player gets 31;
If the row player chooses Option A and the column player chooses Option D, the row player gets 26 and the column player gets 1;
If the row player chooses Option B and the column player chooses Option C, the row player gets 1 and the column player gets 17;
If the row player chooses Option B and the column player chooses Option D, the row player gets 2 and the column player gets 13.
",0.902439024390244,0.902439024390244,0.902439024390244,7.767687277186908,-0.578178608,0.094542108,-0.214800736
